nome_datacenter;operadora;endereco;cep;cidade;estado;pais;latitude;longitude;status;stage;tipo_listagem;tipo_capacidade;tags;link_datacenter;mw_construido;mw_referenciado;whitespace_construido_m;whitespace_referenciado_m;ano_operacional;tipo_construcao;tipo_ocupacao;carga_piso_max_kg_m;redundancia_refrigeracao;cctv;controle_acesso_cartao;biometria;tier_projetado;tier_certificado;pci_dss;iso9001;iso14001;iso22301;iso27001;iso45001;iso50001;soc1;soc2;soc3;colo_suites;colo_cages;colo_cabinets;colo_partial_cabinets;colo_shared_rackspace;colo_footprints;colo_remote_hands;colo_build_to_suit;cloud_gpu;cloud_managed;cloud_baremetal;cloud_public_cloud;qtd_ixps;qtd_clouds;qtd_redes_presentes;qtd_provedores_rede;qtd_provedores_servico;codigo_site;peeringdb_id;cache_overview_status;cache_specs_status
Data Center Marechal Rondon;Brazilian Army;R. da Independencia, 632 ;01524-000;Sao Paulo;;Brazil;-23.5701367;-46.6167762;1;2;Facility;Government;;https://www.datacentermap.com/brazil/sao-paulo/3rd-cta-sao-paulo-data-center/;;;112;112;2025;;Sole-tenant;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;bloqueado;ok
ADA Rio de Janeiro;Ada Infrastructure;Rua Oliveira Roxo;25240-080;Duque de Caxias;;Brazil;-22.70650052424456;-43.23743247257072;1;1;Campus;Colocation;;https://www.datacentermap.com/brazil/rio-de-janeiro/ada-rio-de-janeiro/;60;60;;;;;;;N+1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;ok;ok
ADA Sao Paulo;Ada Infrastructure;Av. Brig. Faria Lima, 3930;04538-132;Sao Paulo;;Brazil;-23.5902486;-46.6818551;1;1;Campus;Colocation;;https://www.datacentermap.com/brazil/sao-paulo/ada-sao-paulo/;40;40;;;;;;;N+1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;bloqueado;ok
Adentro DC Porto Alegre;ADENTRO DATA CENTER SOLUTIONS LTDA;Av. Bahia, 1258;90240-552;Porto Alegre;Rio Grande do Sul;Brazil;-30.0134047;-51.2010249;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/porto-alegre/adentro/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;bloqueado;ok
Algar Tech Uberlandia - Jaraguá;Algar Tech;Rua Janaúba, 145;38413-102;Uberlandia;MG;Brazil;-18.9209149;-48.3090492;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/uberlandia/algar-tech-uberlandia/;;;;;;;;;;;;;;;;;;;;;;;;;0;1;1;1;1;0;1;;0;0;1;1;0;0;0;0;0;;;ok;ok
Algar Tech Uberlandia - Granja Marileusa;Algar Tech;Av. Floriano Peixoto, 6500;38406-642;Uberlandia;Minas Gerais;Brazil;-18.8725131;-48.2451629;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/uberlandia/algar-tecnologia/;;;600;600;;Purpose-built;Sole-tenant;;;;;;;;;;;;;;;;;;0;1;1;1;1;0;1;;0;0;1;1;0;0;0;1;0;;;ok;ok
ODATA RJ01;ODATA, an Aligned Data Centers Company;Rod. Pres. Dutra, 4648;25565-350;São João de Meriti;;Brazil;-22.7966834;-43.3572998;1;2;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/rio-de-janeiro/aligned-rj-01/;23.4;23.4;1800;1800;2023;Purpose-built;;;;;;;;;2;;;;1;;;;;;;;;;;;;;;;;;0;0;0;0;0;RJ-01;13381;bloqueado;ok
ODATA SP01;ODATA, an Aligned Data Centers Company;39,2, Estr. dos Romeiros, 943;06513-001;Votuparim, Santana de Parnaíba;;Brazil;-23.4550357423391;-46.91510647119536;1;2;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/sao-paulo/aligned-sp-01/;19.4;19.4;5600;5600;2017;Purpose-built;;;;;;;3;3;1;1;;;1;;;2;;;0;1;1;1;0;0;1;;0;0;0;0;0;0;32;4;0;SP-01;3913;ok;ok
ODATA SP02 Campus;ODATA, an Aligned Data Centers Company;R. José Blumer, 150;13186-510;Chácaras Assay, Hortolândia;;Brazil;-22.9008002;-47.1935167;1;2;Campus;Colocation;;https://www.datacentermap.com/brazil/sao-paulo/aligned-sp-02/;24;24;5600;5600;2020;Purpose-built;;;;;;;;;1;1;1;;1;;;;;;0;1;1;1;0;0;1;;0;0;0;0;0;0;1;0;0;SP-02;15093;ok;ok
ODATA SP03;ODATA, an Aligned Data Centers Company;Alameda Araguacema, 187;06460-070;Tamboré, Barueri;;Brazil;-23.502083727189984;-46.82507025582267;1;2;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/sao-paulo/aligned-sp-03/;3.2;3.2;1800;1800;2010;Retrofitted;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;1;0;SP-03;;bloqueado;ok
