site_id,ano_overlap,classe_id,classe_nome,area_landsat_2018_ha,area_landsat_ano_ha,area_s2_ano_ha,degrau_publicado_ha,degrau_publicado_pp,controle_real_landsat_ha,artefato_sensor_ha,razao_artefato_sobre_controle,veredito
equinix-santana-parnaiba,2019,3,solo_exposto_obras,91.8,72.45,1364.54,1272.74,12.6387,-19.35,1292.09,66.775,NAO_DISTINGUIVEL
equinix-santana-parnaiba,2019,4,construida_urbana,4004.91,3793.23,2518.45,-1486.46,-14.7654,-211.68,-1274.78,6.022,NAO_DISTINGUIVEL
equinix-santana-parnaiba,2019,5,agua,107.1,115.74,259.03,151.93,1.5086,8.64,143.29,16.584,NAO_DISTINGUIVEL
equinix-santana-parnaiba,2020,1,vegetacao_densa,3278.16,3465.63,3496.98,218.82,2.1695,187.47,31.35,0.167,DISTINGUIVEL
equinix-santana-parnaiba,2020,2,vegetacao_rala,2587.05,2452.59,2152.41,-434.64,-4.3189,-134.46,-300.18,2.232,NAO_DISTINGUIVEL
equinix-santana-parnaiba,2020,3,solo_exposto_obras,91.8,66.96,1565.78,1473.98,14.6371,-24.84,1498.82,60.339,NAO_DISTINGUIVEL
equinix-santana-parnaiba,2020,4,construida_urbana,4004.91,3951.72,2631.68,-1373.23,-13.641,-53.19,-1320.04,24.817,NAO_DISTINGUIVEL
equinix-santana-parnaiba,2020,5,agua,107.1,132.48,223.25,116.15,1.1533,25.38,90.77,3.576,NAO_DISTINGUIVEL
equinix-santana-parnaiba,2021,1,vegetacao_densa,3278.16,3270.24,3128.75,-149.41,-1.4872,-7.92,-141.49,17.865,NAO_DISTINGUIVEL
equinix-santana-parnaiba,2021,2,vegetacao_rala,2587.05,2409.48,2318.18,-268.87,-2.6727,-177.57,-91.3,0.514,NAO_DISTINGUIVEL
equinix-santana-parnaiba,2021,3,solo_exposto_obras,91.8,87.66,1810.16,1718.36,17.0639,-4.14,1722.5,416.063,NAO_DISTINGUIVEL
equinix-santana-parnaiba,2021,4,construida_urbana,4004.91,4192.38,2594.91,-1410.0,-14.0061,187.47,-1597.47,8.521,NAO_DISTINGUIVEL
equinix-santana-parnaiba,2021,5,agua,107.1,109.35,218.1,111.0,1.1022,2.25,108.75,48.333,NAO_DISTINGUIVEL
everest-goiania,2019,1,vegetacao_densa,847.71,719.46,729.79,-117.92,-1.1747,-128.25,10.33,0.081,DISTINGUIVEL
everest-goiania,2019,2,vegetacao_rala,1891.98,1874.61,1941.78,49.8,0.4955,-17.37,67.17,3.867,NAO_DISTINGUIVEL
everest-goiania,2019,3,solo_exposto_obras,92.43,83.7,1849.71,1757.28,17.5027,-8.73,1766.01,202.292,NAO_DISTINGUIVEL
everest-goiania,2019,4,construida_urbana,7167.78,7326.63,5407.05,-1760.73,-17.539,158.85,-1919.58,12.084,NAO_DISTINGUIVEL
everest-goiania,2019,5,agua,39.87,35.64,111.71,71.84,0.7155,-4.23,76.07,17.983,NAO_DISTINGUIVEL
everest-goiania,2020,1,vegetacao_densa,847.71,900.81,681.89,-165.82,-1.6518,53.1,-218.92,4.123,NAO_DISTINGUIVEL
everest-goiania,2020,2,vegetacao_rala,1891.98,1785.51,1837.93,-54.05,-0.5389,-106.47,52.42,0.492,DISTINGUIVEL
everest-goiania,2020,3,solo_exposto_obras,92.43,152.55,2133.81,2041.38,20.3324,60.12,1981.26,32.955,NAO_DISTINGUIVEL
everest-goiania,2020,4,construida_urbana,7167.78,7163.01,5280.38,-1887.4,-18.8006,-4.77,-1882.63,394.681,NAO_DISTINGUIVEL
everest-goiania,2020,5,agua,39.87,38.16,106.03,66.16,0.659,-1.71,67.87,39.69,NAO_DISTINGUIVEL
