site_id,ano,sensor,resolucao_m,classe_id,classe_nome,area_m2,area_ha,pct_area_valida,pixels_validos,fator_correcao_sensor,modelo_versao,gerado_em,tipo,pareado_com,tier,precisao_coordenada,faixa_serie
angonap-fortaleza,2025,sentinel2,10,4,construida_urbana,26315600.0,2631.56,26.2107,1004004,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,sentinel2_oficial_2019_2025
angonap-fortaleza,2025,sentinel2,10,5,agua,54144400.0,5414.44,53.9285,1004004,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,sentinel2_oficial_2019_2025
ascenty-hortolandia,2013,landsat,30,1,vegetacao_densa,30420000.0,3042.0,30.3052,111532,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_nao_corrigido
ascenty-hortolandia,2013,landsat,30,2,vegetacao_rala,28341000.0,2834.1,28.234,111532,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_nao_corrigido
ascenty-hortolandia,2013,landsat,30,3,solo_exposto_obras,3937500.0,393.75,3.9226,111532,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_nao_corrigido
ascenty-hortolandia,2013,landsat,30,4,construida_urbana,35307900.0,3530.79,35.1747,111532,0.6564,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_corrigido_sv20
ascenty-hortolandia,2013,landsat,30,5,agua,2372400.0,237.24,2.3634,111532,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_nao_corrigido
ascenty-hortolandia,2014,landsat,30,1,vegetacao_densa,18018900.0,1801.89,17.9698,111415,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_nao_corrigido
ascenty-hortolandia,2014,landsat,30,2,vegetacao_rala,33683400.0,3368.34,33.5915,111415,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_nao_corrigido
ascenty-hortolandia,2014,landsat,30,3,solo_exposto_obras,6626700.0,662.67,6.6086,111415,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_nao_corrigido
ascenty-hortolandia,2014,landsat,30,4,construida_urbana,40177800.0,4017.78,40.0682,111415,0.6564,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_corrigido_sv20
ascenty-hortolandia,2014,landsat,30,5,agua,1766700.0,176.67,1.7619,111415,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_nao_corrigido
ascenty-hortolandia,2015,landsat,30,1,vegetacao_densa,27818100.0,2781.81,27.7116,111538,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_nao_corrigido
ascenty-hortolandia,2015,landsat,30,2,vegetacao_rala,28602000.0,2860.2,28.4925,111538,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_nao_corrigido
ascenty-hortolandia,2015,landsat,30,3,solo_exposto_obras,4032900.0,403.29,4.0175,111538,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_nao_corrigido
ascenty-hortolandia,2015,landsat,30,4,construida_urbana,37367100.0,3736.71,37.2241,111538,0.6564,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_corrigido_sv20
ascenty-hortolandia,2015,landsat,30,5,agua,2564100.0,256.41,2.5543,111538,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_nao_corrigido
ascenty-hortolandia,2016,landsat,30,1,vegetacao_densa,21025800.0,2102.58,20.9431,111550,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_nao_corrigido
ascenty-hortolandia,2016,landsat,30,2,vegetacao_rala,33213600.0,3321.36,33.0829,111550,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_nao_corrigido
ascenty-hortolandia,2016,landsat,30,3,solo_exposto_obras,3949200.0,394.92,3.9337,111550,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_nao_corrigido
ascenty-hortolandia,2016,landsat,30,4,construida_urbana,39914100.0,3991.41,39.7571,111550,0.6564,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_corrigido_sv20
ascenty-hortolandia,2016,landsat,30,5,agua,2292300.0,229.23,2.2833,111550,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_nao_corrigido
ascenty-hortolandia,2017,landsat,30,1,vegetacao_densa,20313000.0,2031.3,20.232,111556,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_nao_corrigido
ascenty-hortolandia,2017,landsat,30,2,vegetacao_rala,32573700.0,3257.37,32.4438,111556,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_nao_corrigido
ascenty-hortolandia,2017,landsat,30,3,solo_exposto_obras,4532400.0,453.24,4.5143,111556,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_nao_corrigido
ascenty-hortolandia,2017,landsat,30,4,construida_urbana,41577300.0,4157.73,41.4115,111556,0.6564,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_corrigido_sv20
ascenty-hortolandia,2017,landsat,30,5,agua,1404000.0,140.4,1.3984,111556,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_nao_corrigido
ascenty-hortolandia,2018,landsat,30,1,vegetacao_densa,16829100.0,1682.91,16.7624,111553,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_nao_corrigido
ascenty-hortolandia,2018,landsat,30,2,vegetacao_rala,36549900.0,3654.99,36.4051,111553,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_nao_corrigido
ascenty-hortolandia,2018,landsat,30,3,solo_exposto_obras,4985100.0,498.51,4.9654,111553,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_nao_corrigido
ascenty-hortolandia,2018,landsat,30,4,construida_urbana,40090500.0,4009.05,39.9317,111553,0.6564,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_corrigido_sv20
ascenty-hortolandia,2018,landsat,30,5,agua,1943100.0,194.31,1.9354,111553,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_nao_corrigido
ascenty-hortolandia,2019,landsat,30,1,vegetacao_densa,24651900.0,2465.19,24.5553,111548,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_overlap_referencia
