aoi_id;candidato_id;similar_rank;municipio_similar;ponto_latitude;ponto_longitude;l1;qualidade;posicao;escolhido
ipxon-networks-sao-joao-de-meriti;ipxon-networks-sao-joao-de-meriti_sim2_p5;2;São Vicente (SP);-23.972881;-46.413119;0.995245;ruim;9;False
ipxon-networks-sao-joao-de-meriti;ipxon-networks-sao-joao-de-meriti_sim2_p1;2;São Vicente (SP);-23.939293;-46.391895;1.079561;ruim;10;False
ipxon-networks-sao-joao-de-meriti;ipxon-networks-sao-joao-de-meriti_sim2_p6;2;São Vicente (SP);-23.950488;-46.413115;1.143999;ruim;11;False
ipxon-networks-sao-joao-de-meriti;ipxon-networks-sao-joao-de-meriti_sim2_p4;2;São Vicente (SP);-23.984079;-46.391895;1.157932;ruim;12;False
netwise-empresas-lagoa-da-prata;netwise-empresas-lagoa-da-prata_sim2_p5;2;Cruzeiro (SP);-22.585869;-44.983466;0.122738;aceitavel;1;True
netwise-empresas-lagoa-da-prata;netwise-empresas-lagoa-da-prata_sim2_p4;2;Cruzeiro (SP);-22.596932;-44.962715;0.124162;aceitavel;2;False
netwise-empresas-lagoa-da-prata;netwise-empresas-lagoa-da-prata_sim2_p3;2;Cruzeiro (SP);-22.585869;-44.941964;0.18814;aceitavel;3;False
netwise-empresas-lagoa-da-prata;netwise-empresas-lagoa-da-prata_sim2_p6;2;Cruzeiro (SP);-22.563746;-44.983463;0.224938;ruim;4;False
netwise-empresas-lagoa-da-prata;netwise-empresas-lagoa-da-prata_sim2_p2;2;Cruzeiro (SP);-22.563746;-44.941967;0.24249;ruim;5;False
netwise-empresas-lagoa-da-prata;netwise-empresas-lagoa-da-prata_sim2_p1;2;Cruzeiro (SP);-22.552686;-44.962715;0.336358;ruim;6;False
netwise-empresas-lagoa-da-prata;netwise-empresas-lagoa-da-prata_sim1_p6;1;Camanducaia (MG);-22.742901;-46.165444;0.452847;ruim;7;False
netwise-empresas-lagoa-da-prata;netwise-empresas-lagoa-da-prata_sim1_p5;1;Camanducaia (MG);-22.765024;-46.165447;0.480908;ruim;8;False
netwise-empresas-lagoa-da-prata;netwise-empresas-lagoa-da-prata_sim1_p1;1;Camanducaia (MG);-22.731841;-46.144669;0.501994;ruim;9;False
netwise-empresas-lagoa-da-prata;netwise-empresas-lagoa-da-prata_sim1_p2;1;Camanducaia (MG);-22.742901;-46.123894;0.576021;ruim;10;False
netwise-empresas-lagoa-da-prata;netwise-empresas-lagoa-da-prata_sim1_p4;1;Camanducaia (MG);-22.776087;-46.144669;0.647647;ruim;11;False
netwise-empresas-lagoa-da-prata;netwise-empresas-lagoa-da-prata_sim1_p3;1;Camanducaia (MG);-22.765024;-46.123891;0.708534;ruim;12;False
odata,-an-aligned-data-centers-company-hortolandia;odata,-an-aligned-data-centers-company-hortolandia_sim1_p2;1;Jacareí (SP);-23.27956;-45.919826;0.070902;bom;1;True
odata,-an-aligned-data-centers-company-hortolandia;odata,-an-aligned-data-centers-company-hortolandia_sim2_p5;2;Taubaté (SP);-23.049428;-45.601096;0.165746;aceitavel;2;False
odata,-an-aligned-data-centers-company-hortolandia;odata,-an-aligned-data-centers-company-hortolandia_sim2_p1;2;Taubaté (SP);-22.97632;-45.555221;0.230191;ruim;3;False
odata,-an-aligned-data-centers-company-hortolandia;odata,-an-aligned-data-centers-company-hortolandia_sim2_p6;2;Taubaté (SP);-23.000685;-45.60108;0.260203;ruim;4;False
odata,-an-aligned-data-centers-company-hortolandia;odata,-an-aligned-data-centers-company-hortolandia_sim1_p1;1;Jacareí (SP);-23.255195;-45.96578;0.389246;ruim;5;False
odata,-an-aligned-data-centers-company-hortolandia;odata,-an-aligned-data-centers-company-hortolandia_sim2_p2;2;Taubaté (SP);-23.000685;-45.509362;0.424429;ruim;6;False
