destino;site_id;ano;sensor;prop_vegetacao_densa;prop_vegetacao_rala;prop_solo_exposto_obras;prop_construida_urbana;prop_agua;pct_pixels_validos
candidato;ascenty-data-centers-paulinia_sim1_p1;2017;landsat;0.241323;0.500619;0.005181;0.243878;0.009;100.0
candidato;ascenty-data-centers-paulinia_sim1_p1;2018;landsat;0.273037;0.488288;0.003918;0.22608;0.008678;99.9937
candidato;ascenty-data-centers-paulinia_sim1_p2;2016;landsat;0.35425;0.53272;0.004366;0.100086;0.008579;99.9982
candidato;ascenty-data-centers-paulinia_sim1_p2;2017;landsat;0.300002;0.569355;0.004428;0.118326;0.007888;100.0
candidato;ascenty-data-centers-paulinia_sim1_p2;2018;landsat;0.337176;0.553202;0.002196;0.099331;0.008095;100.0
candidato;ascenty-data-centers-paulinia_sim1_p3;2016;landsat;0.270556;0.560109;0.003311;0.150034;0.01599;99.8793
candidato;ascenty-data-centers-paulinia_sim1_p3;2017;landsat;0.221056;0.583877;0.003843;0.177692;0.013531;100.0
candidato;ascenty-data-centers-paulinia_sim1_p3;2018;landsat;0.266731;0.569103;0.00292;0.148365;0.012881;99.7739
candidato;ascenty-data-centers-paulinia_sim1_p4;2016;landsat;0.18716;0.487209;0.016451;0.301481;0.007699;99.5509
candidato;ascenty-data-centers-paulinia_sim1_p4;2017;landsat;0.152205;0.489187;0.01634;0.335924;0.006344;99.8978
candidato;ascenty-data-centers-paulinia_sim1_p4;2018;landsat;0.177783;0.50898;0.012622;0.294052;0.006563;99.5724
candidato;ascenty-data-centers-paulinia_sim1_p5;2016;landsat;0.190244;0.539488;0.01202;0.246415;0.011832;99.857
candidato;ascenty-data-centers-paulinia_sim1_p5;2017;landsat;0.149246;0.547757;0.013147;0.279464;0.010385;99.9991
candidato;ascenty-data-centers-paulinia_sim1_p5;2018;landsat;0.167478;0.56303;0.012279;0.247109;0.010104;99.8659
