id_municipio,nome_municipio,sigla_uf,regiao,populacao,pib_per_capita,pct_va_servicos,pct_va_industria,pct_va_agropecuaria,pct_impostos,id_municipio_similar_1,municipio_similar_1,percentual_similaridade_1,id_municipio_similar_2,municipio_similar_2,percentual_similaridade_2,id_municipio_similar_3,municipio_similar_3,percentual_similaridade_3
3517000,Getulina,SP,Sudeste,11399.666666666666,16950.22333333333,0.35235,0.03836666666666667,0.33853333333333335,0.032733333333333337,3544608,Sabino (SP),85.44,3501806,Américo de Campos (SP),85.15,3524204,Jaborandi (SP),83.13
3517109,Glicério,SP,Sudeste,4812.333333333333,22698.976666666666,0.3216833333333333,0.15131666666666668,0.24855000000000002,0.04573333333333333,3530904,Mombuca (SP),81.59,3516507,Gabriel Monteiro (SP),80.3,3508306,Cabrália Paulista (SP),79.92
3517208,Guaiçara,SP,Sudeste,12089.666666666666,16179.023333333333,0.3808666666666667,0.13593333333333332,0.14006666666666667,0.09286666666666667,3128402,Guarani (MG),87.97,3203403,Mimoso do Sul (ES),82.45,3165404,Sapucaí-Mirim (MG),82.33
3517307,Guaimbê,SP,Sudeste,5758.833333333333,30456.085000000003,0.26215,0.34435,0.15923333333333334,0.0315,3106408,Belo Vale (MG),75.09,3121407,Desterro de Entre Rios (MG),71.36,3105004,Baldim (MG),70.71
3517406,Guaíra,SP,Sudeste,40664.333333333336,70063.89833333333,0.34768333333333334,0.3894666666666667,0.0893,0.10201666666666666,3534203,Orindiúva (SP),84.0,3515202,Estrela d'Oeste (SP),79.18,3529609,Meridiano (SP),75.86
3517505,Guapiaçu,SP,Sudeste,21236.333333333332,29959.101666666666,0.3877833333333333,0.2808,0.10383333333333333,0.09444999999999999,3540804,Potirendaba (SP),94.28,3541703,Quatá (SP),80.59,3511706,Charqueada (SP),80.23
3517604,Guapiara,SP,Sudeste,17294.833333333332,23847.881666666668,0.23755,0.1035,0.44448333333333334,0.0339,3159506,Santa Rita do Itueto (MG),85.51,3170750,Varjão de Minas (MG),82.64,3536901,Pedranópolis (SP),79.39
3517703,Guará,SP,Sudeste,21188.166666666668,23218.458333333332,0.45283333333333337,0.15931666666666666,0.1315,0.05975,3532603,Nhandeara (SP),81.84,3529203,Martinópolis (SP),79.65,3539004,Pirangi (SP),79.61
3517802,Guaraçaí,SP,Sudeste,8364.833333333334,33624.431666666664,0.3426,0.04496666666666666,0.4227,0.04158333333333333,3535903,Paranapuã (SP),89.04,3509809,Campos Novos Paulista (SP),87.18,3142809,Monte Alegre de Minas (MG),82.01
3517901,Guaraci,SP,Sudeste,11130.166666666666,32146.61,0.28981666666666667,0.16523333333333332,0.30296666666666666,0.08515,3522000,Itaju (SP),84.66,3168903,Tiros (MG),80.08,3114550,Carneirinho (MG),78.32
3518008,Guarani d'Oeste,SP,Sudeste,2005.1666666666667,17854.51,0.34086666666666665,0.08521666666666666,0.16574999999999998,0.036583333333333336,3138005,Laranjal (MG),85.7,3107208,Bocaina de Minas (MG),85.1,3501400,Álvaro de Carvalho (SP),83.55
3518107,Guarantã,SP,Sudeste,6668.666666666667,25887.255,0.3274333333333333,0.12088333333333334,0.31625,0.055333333333333325,3133105,Itanhandu (MG),89.54,3137502,Lagoa Formosa (MG),88.88,3543808,Rinópolis (SP),83.51
3518206,Guararapes,SP,Sudeste,32871.0,31538.51833333333,0.4245666666666667,0.17961666666666667,0.1975,0.06999999999999999,3543600,Rifaina (SP),81.19,3508801,Cafelândia (SP),80.43,3201902,Domingos Martins (ES),79.53
