ano,mes,uf,nome_uf,regiao,tipo_consumo,consumo,numero_consumidores
2008,7,DF,Distrito Federal,Centro-Oeste,Total,398730,
2008,8,DF,Distrito Federal,Centro-Oeste,Cativo,368777,
2008,8,DF,Distrito Federal,Centro-Oeste,Comercial,108808,80835
2008,8,DF,Distrito Federal,Centro-Oeste,Industrial,48621,1480
2008,8,DF,Distrito Federal,Centro-Oeste,Outros,100234,13309
2008,8,DF,Distrito Federal,Centro-Oeste,Residencial,144485,695926
2008,8,DF,Distrito Federal,Centro-Oeste,Total,402148,
2008,9,DF,Distrito Federal,Centro-Oeste,Cativo,394882,
2008,9,DF,Distrito Federal,Centro-Oeste,Comercial,120060,81100
2008,9,DF,Distrito Federal,Centro-Oeste,Industrial,47636,1485
2008,9,DF,Distrito Federal,Centro-Oeste,Outros,101752,13287
2008,9,DF,Distrito Federal,Centro-Oeste,Residencial,156828,698706
2008,9,DF,Distrito Federal,Centro-Oeste,Total,426276,
2008,10,DF,Distrito Federal,Centro-Oeste,Cativo,408066,
2008,10,DF,Distrito Federal,Centro-Oeste,Comercial,123676,81422
2008,10,DF,Distrito Federal,Centro-Oeste,Industrial,48257,1492
2008,10,DF,Distrito Federal,Centro-Oeste,Outros,111108,13346
2008,10,DF,Distrito Federal,Centro-Oeste,Residencial,156984,701175
2008,10,DF,Distrito Federal,Centro-Oeste,Total,440025,
2008,11,DF,Distrito Federal,Centro-Oeste,Cativo,411692,
2008,11,DF,Distrito Federal,Centro-Oeste,Comercial,132243,81454
2008,11,DF,Distrito Federal,Centro-Oeste,Industrial,48616,1485
2008,11,DF,Distrito Federal,Centro-Oeste,Outros,101953,13065
2008,11,DF,Distrito Federal,Centro-Oeste,Residencial,160258,701458
2008,11,DF,Distrito Federal,Centro-Oeste,Total,443070,
2008,12,DF,Distrito Federal,Centro-Oeste,Cativo,382600,
2008,12,DF,Distrito Federal,Centro-Oeste,Comercial,119612,81624
2008,12,DF,Distrito Federal,Centro-Oeste,Industrial,47253,1489
2008,12,DF,Distrito Federal,Centro-Oeste,Outros,104096,10271
2008,12,DF,Distrito Federal,Centro-Oeste,Residencial,143077,700809
2008,12,DF,Distrito Federal,Centro-Oeste,Total,414038,
2009,1,DF,Distrito Federal,Centro-Oeste,Cativo,395140,
2009,1,DF,Distrito Federal,Centro-Oeste,Comercial,121515,81935
2009,1,DF,Distrito Federal,Centro-Oeste,Industrial,45879,1518
2009,1,DF,Distrito Federal,Centro-Oeste,Outros,96425,13414
2009,1,DF,Distrito Federal,Centro-Oeste,Residencial,162023,705193
2009,1,DF,Distrito Federal,Centro-Oeste,Total,425842,
2009,2,DF,Distrito Federal,Centro-Oeste,Cativo,393131,
2009,2,DF,Distrito Federal,Centro-Oeste,Comercial,121616,82295
2009,2,DF,Distrito Federal,Centro-Oeste,Industrial,44392,1573
2009,2,DF,Distrito Federal,Centro-Oeste,Outros,98699,13540
2009,2,DF,Distrito Federal,Centro-Oeste,Residencial,142714,705574
2009,2,DF,Distrito Federal,Centro-Oeste,Total,407421,
2009,3,DF,Distrito Federal,Centro-Oeste,Cativo,406287,
2009,3,DF,Distrito Federal,Centro-Oeste,Comercial,121871,82571
2009,3,DF,Distrito Federal,Centro-Oeste,Industrial,43374,1573
2009,3,DF,Distrito Federal,Centro-Oeste,Outros,98574,13547
2009,3,DF,Distrito Federal,Centro-Oeste,Residencial,156516,707136
2009,3,DF,Distrito Federal,Centro-Oeste,Total,420335,
2009,4,DF,Distrito Federal,Centro-Oeste,Cativo,425783,
2009,4,DF,Distrito Federal,Centro-Oeste,Comercial,133741,86318
2009,4,DF,Distrito Federal,Centro-Oeste,Industrial,47364,1625
2009,4,DF,Distrito Federal,Centro-Oeste,Outros,104534,13639
2009,4,DF,Distrito Federal,Centro-Oeste,Residencial,154564,704255
2009,4,DF,Distrito Federal,Centro-Oeste,Total,440203,
2009,5,DF,Distrito Federal,Centro-Oeste,Cativo,415227,
2009,5,DF,Distrito Federal,Centro-Oeste,Comercial,125533,87060
2009,5,DF,Distrito Federal,Centro-Oeste,Industrial,45523,1642
2009,5,DF,Distrito Federal,Centro-Oeste,Outros,100897,13695
