site_id,papel,pareado_com,ano,ano_relativo_ao_inicio_obra,fase,classe,percentual
ascenty-vinhedo,tratamento,ascenty-vinhedo,2022,3,pos,vegetacao_rala,54.190099999999994
clickip-manaus,tratamento,clickip-manaus,2020,-3,pre,agua,0.09179999999999999
clickip-manaus,tratamento,clickip-manaus,2020,-3,pre,construida_urbana,59.6267
clickip-manaus,tratamento,clickip-manaus,2020,-3,pre,solo_exposto_obras,9.3304
clickip-manaus,tratamento,clickip-manaus,2020,-3,pre,vegetacao_densa,13.747100000000001
clickip-manaus,tratamento,clickip-manaus,2020,-3,pre,vegetacao_rala,17.204
clickip-manaus,tratamento,clickip-manaus,2021,-2,pre,agua,0.164
clickip-manaus,tratamento,clickip-manaus,2021,-2,pre,construida_urbana,60.4788
clickip-manaus,tratamento,clickip-manaus,2021,-2,pre,solo_exposto_obras,8.165799999999999
clickip-manaus,tratamento,clickip-manaus,2021,-2,pre,vegetacao_densa,13.083400000000001
clickip-manaus,tratamento,clickip-manaus,2021,-2,pre,vegetacao_rala,18.1081
clickip-manaus,tratamento,clickip-manaus,2022,-1,pre,agua,0.089
clickip-manaus,tratamento,clickip-manaus,2022,-1,pre,construida_urbana,61.7707
clickip-manaus,tratamento,clickip-manaus,2022,-1,pre,solo_exposto_obras,8.537799999999999
clickip-manaus,tratamento,clickip-manaus,2022,-1,pre,vegetacao_densa,13.567100000000002
clickip-manaus,tratamento,clickip-manaus,2022,-1,pre,vegetacao_rala,16.0354
clickip-manaus,tratamento,clickip-manaus,2023,0,durante,agua,0.0751
clickip-manaus,tratamento,clickip-manaus,2023,0,durante,construida_urbana,62.4105
clickip-manaus,tratamento,clickip-manaus,2023,0,durante,solo_exposto_obras,8.5245
clickip-manaus,tratamento,clickip-manaus,2023,0,durante,vegetacao_densa,12.1318
clickip-manaus,tratamento,clickip-manaus,2023,0,durante,vegetacao_rala,16.8581
clickip-manaus,tratamento,clickip-manaus,2024,1,durante,agua,0.0675
