site_id,tier,regiao,bioma,sensor,ano,n_imagens_usadas,pct_pixels_validos,tamanho_mb,status
ascenty-jundiai,2,Sudeste,Mata Atlântica,sentinel2,2023,144,100.0,7.158,ok
ascenty-jundiai,2,Sudeste,Mata Atlântica,sentinel2,2024,144,100.0,7.177,ok
ascenty-jundiai,2,Sudeste,Mata Atlântica,sentinel2,2025,173,100.0,7.245,ok
ascenty-paulinia,2,Sudeste,Mata Atlântica,landsat,2013,12,100.0,0.956,ok
ascenty-paulinia,2,Sudeste,Mata Atlântica,landsat,2014,14,100.0,0.963,ok
ascenty-paulinia,2,Sudeste,Mata Atlântica,landsat,2015,15,100.0,0.959,ok
ascenty-paulinia,2,Sudeste,Mata Atlântica,landsat,2016,14,100.0,0.957,ok
ascenty-paulinia,2,Sudeste,Mata Atlântica,landsat,2017,14,100.0,0.961,ok
ascenty-paulinia,2,Sudeste,Mata Atlântica,landsat,2018,13,100.0,0.959,ok
ascenty-paulinia,2,Sudeste,Mata Atlântica,landsat,2019,14,100.0,0.957,ok
ascenty-paulinia,2,Sudeste,Mata Atlântica,landsat,2020,14,100.0,0.959,ok
ascenty-paulinia,2,Sudeste,Mata Atlântica,landsat,2021,13,100.0,0.956,ok
ascenty-paulinia,2,Sudeste,Mata Atlântica,sentinel2,2019,98,100.0,8.164,ok
ascenty-paulinia,2,Sudeste,Mata Atlântica,sentinel2,2020,96,100.0,8.124,ok
ascenty-paulinia,2,Sudeste,Mata Atlântica,sentinel2,2021,96,100.0,8.128,ok
ascenty-paulinia,2,Sudeste,Mata Atlântica,sentinel2,2022,96,100.0,8.152,ok
ascenty-paulinia,2,Sudeste,Mata Atlântica,sentinel2,2023,98,100.0,8.053,ok
ascenty-paulinia,2,Sudeste,Mata Atlântica,sentinel2,2024,96,100.0,8.053,ok
ascenty-paulinia,2,Sudeste,Mata Atlântica,sentinel2,2025,116,100.0,8.119,ok
hostdime-joao-pessoa,2,Nordeste,Mata Atlântica,landsat,2013,7,99.2882,0.957,ok
