par,horizonte,variavel,efeito_liquido
ascenty-osasco,-1,prop_agua,0.0
ascenty-osasco,-1,lst_media_celsius,0.0
ascenty-osasco,-1,populacao,0.0
ascenty-osasco,-1,emprego_formal_total,0.0
ascenty-osasco,-1,pib_mil_reais,0.0
ascenty-osasco,-1,numero_empresas,0.0
ascenty-osasco,0,prop_vegetacao_densa,0.014198000000000016
ascenty-osasco,0,prop_vegetacao_rala,-0.014836000000000016
ascenty-osasco,0,prop_solo_exposto_obras,6.700000000000195e-05
ascenty-osasco,0,prop_construida_urbana,-0.0010819999999999719
ascenty-osasco,0,prop_agua,0.0016550000000000002
ascenty-osasco,0,lst_media_celsius,-0.2997999999999976
ascenty-osasco,0,populacao,-1735.0
ascenty-osasco,0,emprego_formal_total,-816.0
ascenty-osasco,0,pib_mil_reais,-5118012.0
ascenty-osasco,0,numero_empresas,508.0
ascenty-osasco,1,prop_vegetacao_densa,-0.004492999999999969
ascenty-osasco,1,prop_vegetacao_rala,0.01578099999999999
ascenty-osasco,1,prop_solo_exposto_obras,-0.0036379999999999997
ascenty-osasco,1,prop_construida_urbana,-0.006598000000000048
ascenty-osasco,1,prop_agua,-0.0010510000000000007
ascenty-osasco,1,lst_media_celsius,-0.2406000000000006
ascenty-osasco,1,populacao,-3421.0
ascenty-osasco,1,emprego_formal_total,16655.0
ascenty-osasco,1,pib_mil_reais,3399474.0
ascenty-osasco,1,numero_empresas,1963.0
ascenty-osasco,2,prop_vegetacao_densa,0.01819800000000002
ascenty-osasco,2,prop_vegetacao_rala,-0.007829000000000003
ascenty-osasco,2,prop_solo_exposto_obras,0.0008130000000000021
ascenty-osasco,2,prop_construida_urbana,-0.011124999999999996
ascenty-osasco,2,prop_agua,-5.500000000000123e-05
ascenty-osasco,2,lst_media_celsius,-0.5597999999999992
ascenty-osasco,2,populacao,35600.0
ascenty-osasco,2,emprego_formal_total,26150.0
ascenty-osasco,2,pib_mil_reais,27271746.0
ascenty-osasco,2,numero_empresas,17247.0
ascenty-osasco,3,prop_vegetacao_densa,0.004619000000000012
ascenty-osasco,3,prop_vegetacao_rala,-0.0034590000000000176
ascenty-osasco,3,prop_solo_exposto_obras,0.0024160000000000006
ascenty-osasco,3,prop_construida_urbana,-0.004650999999999905
ascenty-osasco,3,prop_agua,0.0010759999999999988
ascenty-osasco,3,lst_media_celsius,-0.16140000000000043
ascenty-osasco,3,populacao,
ascenty-osasco,3,emprego_formal_total,41916.0
ascenty-osasco,3,pib_mil_reais,33932165.0
ascenty-osasco,3,numero_empresas,19142.0
ascenty-paulinia,-3,prop_vegetacao_densa,-0.002715999999999996
ascenty-paulinia,-3,prop_vegetacao_rala,0.017740000000000034
ascenty-paulinia,-3,prop_solo_exposto_obras,-0.00113
ascenty-paulinia,-3,prop_construida_urbana,0.0046439999999999815
ascenty-paulinia,-3,prop_agua,-0.018536999999999998
ascenty-paulinia,-3,lst_media_celsius,-0.5218999999999987
ascenty-paulinia,-3,populacao,-1157.0
ascenty-paulinia,-3,emprego_formal_total,1318.0
ascenty-paulinia,-3,pib_mil_reais,4745842.0
ascenty-paulinia,-3,numero_empresas,67.0
ascenty-paulinia,-2,prop_vegetacao_densa,0.007816000000000004
ascenty-paulinia,-2,prop_vegetacao_rala,0.02190000000000003
ascenty-paulinia,-2,prop_solo_exposto_obras,0.0009849999999999998
ascenty-paulinia,-2,prop_construida_urbana,-0.015059999999999962
ascenty-paulinia,-2,prop_agua,-0.015642
ascenty-paulinia,-2,lst_media_celsius,-0.6518999999999977
ascenty-paulinia,-2,populacao,-1033.0
ascenty-paulinia,-2,emprego_formal_total,-1706.0
ascenty-paulinia,-2,pib_mil_reais,3237919.0
ascenty-paulinia,-2,numero_empresas,207.0
ascenty-paulinia,-1,prop_vegetacao_densa,0.0
ascenty-paulinia,-1,prop_vegetacao_rala,0.0
ascenty-paulinia,-1,prop_solo_exposto_obras,0.0
ascenty-paulinia,-1,prop_construida_urbana,0.0
ascenty-paulinia,-1,prop_agua,0.0
ascenty-paulinia,-1,lst_media_celsius,0.0
ascenty-paulinia,-1,populacao,0.0
ascenty-paulinia,-1,emprego_formal_total,0.0
ascenty-paulinia,-1,pib_mil_reais,0.0
ascenty-paulinia,-1,numero_empresas,0.0
ascenty-paulinia,0,prop_vegetacao_densa,0.019623
ascenty-paulinia,0,prop_vegetacao_rala,0.05109699999999995
ascenty-paulinia,0,prop_solo_exposto_obras,-0.0016320000000000006
ascenty-paulinia,0,prop_construida_urbana,-0.055578000000000016
ascenty-paulinia,0,prop_agua,-0.013509000000000002
ascenty-paulinia,0,lst_media_celsius,-0.668800000000001
ascenty-paulinia,0,populacao,163.0
ascenty-paulinia,0,emprego_formal_total,2681.0
ascenty-paulinia,0,pib_mil_reais,4186351.0
ascenty-paulinia,0,numero_empresas,-323.0
ascenty-paulinia,1,prop_vegetacao_densa,0.023046999999999998
ascenty-paulinia,1,prop_vegetacao_rala,0.01221899999999998
ascenty-paulinia,1,prop_solo_exposto_obras,-0.0003050000000000006
ascenty-paulinia,1,prop_construida_urbana,-0.02082299999999998
ascenty-paulinia,1,prop_agua,-0.014136
ascenty-paulinia,1,lst_media_celsius,-0.41850000000000165
ascenty-paulinia,1,populacao,321.0
ascenty-paulinia,1,emprego_formal_total,2687.0
ascenty-paulinia,1,pib_mil_reais,6532387.0
ascenty-paulinia,1,numero_empresas,-477.0
ascenty-paulinia,2,prop_vegetacao_densa,0.029563999999999993
ascenty-paulinia,2,prop_vegetacao_rala,0.009816999999999965
ascenty-paulinia,2,prop_solo_exposto_obras,0.002733
ascenty-paulinia,2,prop_construida_urbana,-0.028111000000000053
ascenty-paulinia,2,prop_agua,-0.014002000000000002
ascenty-paulinia,2,lst_media_celsius,-0.6943999999999981
ascenty-paulinia,2,populacao,474.0
ascenty-paulinia,2,emprego_formal_total,1425.0
ascenty-paulinia,2,pib_mil_reais,15853843.0
ascenty-paulinia,2,numero_empresas,-684.0
ascenty-paulinia,3,prop_vegetacao_densa,0.02589699999999999
ascenty-paulinia,3,prop_vegetacao_rala,0.007135999999999976
ascenty-paulinia,3,prop_solo_exposto_obras,0.0013089999999999994
ascenty-paulinia,3,prop_construida_urbana,-0.017955
ascenty-paulinia,3,prop_agua,-0.016386
ascenty-paulinia,3,lst_media_celsius,-0.49760000000000204
ascenty-paulinia,3,populacao,3633.0
ascenty-paulinia,3,emprego_formal_total,2809.0
ascenty-paulinia,3,pib_mil_reais,32500679.0
ascenty-paulinia,3,numero_empresas,-3681.0
ascenty-sumare,-3,prop_vegetacao_densa,0.0068509999999999925
ascenty-sumare,-3,prop_vegetacao_rala,-0.0012790000000000301
ascenty-sumare,-3,prop_solo_exposto_obras,0.003527999999999999
ascenty-sumare,-3,prop_construida_urbana,-0.011157000000000028
ascenty-sumare,-3,prop_agua,0.002056999999999999
ascenty-sumare,-3,lst_media_celsius,0.14030000000000342
ascenty-sumare,-3,populacao,
ascenty-sumare,-3,emprego_formal_total,-3560.0
ascenty-sumare,-3,pib_mil_reais,-93223.0
ascenty-sumare,-3,numero_empresas,240.0
ascenty-sumare,-2,prop_vegetacao_densa,-0.01945200000000001
ascenty-sumare,-2,prop_vegetacao_rala,0.039337999999999984
ascenty-sumare,-2,prop_solo_exposto_obras,-0.0019140000000000025
ascenty-sumare,-2,prop_construida_urbana,-0.018923000000000023
ascenty-sumare,-2,prop_agua,0.0009519999999999997
ascenty-sumare,-2,lst_media_celsius,-0.0882000000000005
ascenty-sumare,-2,populacao,
ascenty-sumare,-2,emprego_formal_total,-1564.0
ascenty-sumare,-2,pib_mil_reais,668477.0
ascenty-sumare,-2,numero_empresas,-103.0
ascenty-sumare,-1,prop_vegetacao_densa,0.0
ascenty-sumare,-1,prop_vegetacao_rala,0.0
ascenty-sumare,-1,prop_solo_exposto_obras,0.0
ascenty-sumare,-1,prop_construida_urbana,0.0
ascenty-sumare,-1,prop_agua,0.0
ascenty-sumare,-1,lst_media_celsius,0.0
ascenty-sumare,-1,populacao,0.0
ascenty-sumare,-1,emprego_formal_total,0.0
ascenty-sumare,-1,pib_mil_reais,0.0
ascenty-sumare,-1,numero_empresas,0.0
ascenty-sumare,0,prop_vegetacao_densa,0.000661999999999989
ascenty-sumare,0,prop_vegetacao_rala,-0.001419000000000059
ascenty-sumare,0,prop_solo_exposto_obras,-0.006439000000000001
ascenty-sumare,0,prop_construida_urbana,0.007740999999999942
ascenty-sumare,0,prop_agua,-0.0005449999999999995
ascenty-sumare,0,lst_media_celsius,-0.13040000000000163
ascenty-sumare,0,populacao,-750.0
ascenty-sumare,0,emprego_formal_total,-2963.0
ascenty-sumare,0,pib_mil_reais,-363868.0
ascenty-sumare,0,numero_empresas,-142.0
ascenty-sumare,1,prop_vegetacao_densa,0.008389999999999995
ascenty-sumare,1,prop_vegetacao_rala,0.0013539999999999663
ascenty-sumare,1,prop_solo_exposto_obras,-4.2999999999999636e-05
ascenty-sumare,1,prop_construida_urbana,-0.00861100000000009
ascenty-sumare,1,prop_agua,-0.0010910000000000008
ascenty-sumare,1,lst_media_celsius,0.23789999999999978
ascenty-sumare,1,populacao,-2492.0
ascenty-sumare,1,emprego_formal_total,-3188.0
ascenty-sumare,1,pib_mil_reais,-1112030.0
ascenty-sumare,1,numero_empresas,-72.0
ascenty-sumare,2,prop_vegetacao_densa,-0.040358
ascenty-sumare,2,prop_vegetacao_rala,0.06392900000000001
ascenty-sumare,2,prop_solo_exposto_obras,-0.0018190000000000012
ascenty-sumare,2,prop_construida_urbana,-0.020232000000000083
ascenty-sumare,2,prop_agua,-0.0015210000000000007
ascenty-sumare,2,lst_media_celsius,0.16359999999999886
ascenty-sumare,2,populacao,-3341.0
ascenty-sumare,2,emprego_formal_total,-6629.0
ascenty-sumare,2,pib_mil_reais,-1753698.0
ascenty-sumare,2,numero_empresas,-1001.0
ascenty-sumare,3,prop_vegetacao_densa,-0.005286000000000006
